Species,Time,Latitude,Longitude,Altitude_m,Symbol,Section
Sugar Maple,11/4/2013 14:26:20,42.354387,-71.271809,49.5,,LSC SM4 7
Sugar Maple,11/11/2013 16:27:03,42.354284,-71.271491,39.8,Golf Course,LSC SM4 7
Sugar Maple,10/24/2013 12:34:00,42.354483,-71.2716,45,Civil,LSC SM4 7
Sugar Maple,10/29/2013 13:35:29,42.354287,-71.271671,44.3,Golf Course,LSC SM4 7
Sugar Maple,10/31/2013 13:25:02,42.354293,-71.271784,46.1,Golf Course,LSC SM4 8
Sugar Maple,11/4/2013 14:29:13,42.354385,-71.2718,49,Golf Course,LSC SM4 8
Sugar Maple,11/7/2013 13:39:02,42.354232,-71.271451,44.3,Golf Course,LSC SM4 8
Sugar Maple,11/8/2013 16:14:16,42.354481,-71.271688,42.2,Golf Course,LSC SM4 8
Sugar Maple,11/7/2013 13:39:02,42.354232,-71.271451,44.3,Golf Course,LSC SM4 8
Sugar Maple,10/28/2013 13:38:51,42.354271,-71.271566,39.8,Golf Course,LSC SM4 8
Sugar Maple,11/4/2013 14:29:13,42.354385,-71.2718,49,,LSC SM4 8
Sugar Maple,10/28/2013 13:38:51,42.354271,-71.271566,39.8,Golf Course,LSC SM4 8
Sugar Maple,11/11/2013 16:29:00,42.354266,-71.271528,41.1,Golf Course,LSC SM4 8
Sugar Maple,10/24/2013 12:36:35,42.354468,-71.271589,49.6,Civil,LSC SM4 8
Sugar Maple,10/29/2013 13:36:36,42.354289,-71.271662,44.4,Golf Course,LSC SM4 8
Sugar Maple,10/31/2013 13:25:57,42.354294,-71.271777,45.3,Golf Course,LSC SM4 9
Sugar Maple,11/4/2013 14:32:58,42.354365,-71.271773,47.9,Golf Course,LSC SM4 9
Sugar Maple,11/7/2013 13:40:18,42.354231,-71.271391,43.8,Golf Course,LSC SM4 9
Sugar Maple,11/8/2013 16:15:11,42.354485,-71.271675,43.8,Golf Course,LSC SM4 9
Sugar Maple,11/7/2013 13:40:18,42.354231,-71.271391,43.8,Golf Course,LSC SM4 9
Sugar Maple,11/4/2013 14:32:58,42.354365,-71.271773,47.9,,LSC SM4 9
Sugar Maple,10/24/2013 12:38:32,42.35443,-71.271612,47.1,Civil,LSC SM4 9
Sugar Maple,10/29/2013 13:38:35,42.354303,-71.271676,43.8,Golf Course,LSC SM4 9
Sugar Maple,10/21/2013 13:12:37,42.354535,-71.27208,45.1,Civil,LSC SM41
Sugar Maple,10/21/2013 13:18:03,42.354548,-71.271814,42.4,Civil,LSC SM42
Sugar Maple,10/21/2013 13:21:46,42.354565,-71.271805,44.8,Civil,LSC SM43
